City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Georgetown,MY,2021-01-10 03:44:23,5.4112,100.3354,87.01,58,20,11.5
67,Albany,US,2021-01-10 03:47:26,42.6001,-73.9662,26.01,57,83,8.01
68,Saskylakh,RU,2021-01-10 03:47:26,71.9167,114.0833,-24.07,85,100,9.71
69,Mount Isa,AU,2021-01-10 03:43:02,-20.7333,139.5,93.2,36,39,9.22
70,Half Moon Bay,US,2021-01-10 03:45:22,37.4636,-122.4286,52.0,62,20,4.94
71,Nargana,PA,2021-01-10 03:47:27,9.4428,-78.5906,79.75,83,95,10.51
72,Sitka,US,2021-01-10 03:47:27,57.0531,-135.33,44.6,57,90,21.85
73,Barrow,US,2021-01-10 03:44:20,71.2906,-156.7887,3.2,85,90,6.91
74,Chuy,UY,2021-01-10 03:44:03,-33.6971,-53.4616,66.4,83,56,6.93
75,Gornyy,RU,2021-01-10 03:47:28,55.1153,83.9059,6.42,95,100,17.31
76,Murchison,NZ,2021-01-10 03:47:28,-41.8,172.3333,69.75,43,87,7.02
77,Litein,KE,2021-01-10 03:47:28,-0.5823,35.1903,55.63,97,99,1.79
78,Moerai,PF,2021-01-10 03:47:28,-22.4333,-151.3333,80.73,76,45,12.35
79,Doha,QA,2021-01-10 03:47:29,25.2867,51.5333,60.8,55,0,3.44
80,Thompson,CA,2021-01-10 03:45:10,55.7435,-97.8558,6.8,85,1,5.75
81,Paoua,CF,2021-01-10 03:47:30,7.2427,16.4406,67.05,26,100,3.8
82,Hilo,US,2021-01-10 03:47:30,19.7297,-155.09,78.8,61,90,10.36
83,Quime,BO,2021-01-10 03:47:30,-16.9833,-67.2167,50.88,74,100,2.62
84,Tazovskiy,RU,2021-01-10 03:47:30,67.4667,78.7,-25.67,86,4,9.15
85,Necochea,AR,2021-01-10 03:47:31,-38.5473,-58.7368,66.99,80,29,19.75
86,Abalak,RU,2021-01-10 03:47:31,58.1286,68.5944,-15.61,90,84,5.19
87,Talnakh,RU,2021-01-10 03:43:40,69.4865,88.3972,-22.34,75,0,3.94
88,Oxapampa,PE,2021-01-10 03:47:31,-10.5775,-75.4017,57.58,89,94,2.8
89,Tasiilaq,GL,2021-01-10 03:44:30,65.6145,-37.6368,17.6,53,75,4.61
90,Saint-Philippe,RE,2021-01-10 03:44:36,-21.3585,55.7679,78.8,53,75,3.44
91,Tucumcari,US,2021-01-10 03:46:19,35.1717,-103.725,32.0,93,90,10.36
92,Verkhniye Kigi,RU,2021-01-10 03:47:33,55.4083,58.6044,13.01,93,100,12.5
93,Vokhma,RU,2021-01-10 03:47:33,58.9303,46.7586,7.97,95,100,9.08
94,Bayji,IQ,2021-01-10 03:47:33,34.9311,43.487,48.09,48,36,3.11
95,Celestun,MX,2021-01-10 03:47:34,20.8667,-90.4,66.04,69,32,11.21
96,Victoria,HK,2021-01-10 03:46:31,22.2855,114.1577,57.0,37,96,1.99
97,Bluff,NZ,2021-01-10 03:47:34,-46.6,168.3333,57.07,82,93,27.04
98,North Bend,US,2021-01-10 03:47:35,43.4065,-124.2243,51.01,76,1,8.05
99,Gao,ML,2021-01-10 03:47:35,16.6362,1.637,72.32,19,0,10.92
100,Arraial Do Cabo,BR,2021-01-10 03:47:35,-22.9661,-42.0278,76.55,91,20,15.61
101,Elat,IL,2021-01-10 03:47:35,29.5581,34.9482,59.0,55,0,4.61
102,The Pas,CA,2021-01-10 03:47:36,53.8251,-101.2541,23.0,80,1,8.05
103,Lyuban,BY,2021-01-10 03:47:36,52.7985,28.0048,18.0,97,65,5.35
104,Aswan,EG,2021-01-10 03:47:36,24.0934,32.907,58.51,36,0,8.95
105,Broken Hill,AU,2021-01-10 03:47:36,-31.95,141.4333,89.6,19,0,12.66
106,Biharamulo,TZ,2021-01-10 03:47:36,-2.6319,31.3089,59.92,100,100,2.44
107,Aryanah,TN,2021-01-10 03:47:37,36.8601,10.1934,59.0,82,20,8.05
108,Torbay,CA,2021-01-10 03:47:38,47.6666,-52.7314,30.99,93,1,10.36
109,Lavrentiya,RU,2021-01-10 03:47:38,65.5833,-171.0,-12.42,86,0,5.97
110,Carnarvon,AU,2021-01-10 03:47:38,-24.8667,113.6333,89.6,55,2,21.85
111,Katsuura,JP,2021-01-10 03:44:15,35.1333,140.3,42.8,39,20,3.44
112,Jatiroto,ID,2021-01-10 03:47:24,-7.8833,111.1167,83.44,70,100,7.49
113,Sarkand,KZ,2021-01-10 03:47:40,45.41,79.9186,20.98,70,8,3.33
114,East London,ZA,2021-01-10 03:46:21,-33.0153,27.9116,69.8,83,0,11.5
115,Kodiak,US,2021-01-10 03:45:11,57.79,-152.4072,37.4,87,90,25.32
116,Galle,LK,2021-01-10 03:44:47,6.0367,80.217,77.27,84,100,7.85
117,Dikson,RU,2021-01-10 03:47:41,73.5069,80.5464,-2.74,93,100,18.43
